player_id,player_display_name,team,position,opponent,week,baseline,projected_points,injury_status
00-0029263,Russell Wilson,NYG,QB,KC,3,19.316366666666667,22.790197123655915,ACTIVE
00-0030035,Adam Thielen,MIN,WR,CIN,3,6.125196078431372,6.900724936748893,ACTIVE
00-0030061,Zach Ertz,WAS,TE,LV,3,13.15557142857143,12.860632004608297,ACTIVE
00-0030279,Keenan Allen,LAC,WR,DEN,3,17.354646853146857,16.780823852357326,ACTIVE
00-0030506,Travis Kelce,KC,TE,NYG,3,12.409868421052632,14.641643145161293,ACTIVE
00-0030564,DeAndre Hopkins,BAL,WR,DET,3,12.237092363261095,15.433243253333169,ACTIVE
00-0030565,Geno Smith,LV,QB,WAS,3,12.29770065359477,12.938371187644949,ACTIVE
00-0031236,Brandin Cooks,NO,WR,SEA,3,6.328764705882353,5.877049124999998,ACTIVE
00-0031381,Davante Adams,LA,WR,PHI,3,16.263130252100844,16.76413958728653,ACTIVE
00-0031408,Mike Evans,TB,WR,NYJ,3,12.654030701754387,13.986785870826258,ACTIVE
00-0031588,Stefon Diggs,NE,WR,PIT,3,11.640543859649123,13.362217846632712,ACTIVE
00-0031763,DeAndre Carter,CLE,WR,GB,3,0.6340673705379588,0.6974229731263886,ACTIVE
00-0032211,Tyler Lockett,TEN,WR,IND,3,4.266029411764706,4.66992606736243,ACTIVE
00-0032385,Sterling Shepard,TB,WR,NYJ,3,6.648448717948719,7.348680494210091,ACTIVE
00-0032392,Austin Hooper,NE,TE,PIT,3,4.703088235294117,5.398690156546489,ACTIVE
00-0032464,Kalif Raymond,DET,WR,BAL,3,4.019558823529412,4.709982883064517,ACTIVE
00-0032764,Derrick Henry,BAL,RB,DET,3,17.3266056501548,17.400662916240137,ACTIVE
00-0033040,Tyreek Hill,MIA,WR,BUF,3,13.957075163398692,15.629954434495568,ACTIVE
00-0033077,Dak Prescott,DAL,QB,CHI,3,15.648095238095237,20.784582500000003,ACTIVE
00-0033090,Hunter Henry,NE,TE,PIT,3,7.111610576923078,8.163440721929282,ACTIVE
00-0033106,Jared Goff,DET,QB,BAL,3,20.849455555555554,26.994160017473117,ACTIVE
00-0033110,Tyler Higbee,LA,TE,PHI,3,5.887625,6.006327116935483,ACTIVE
00-0033217,Mo Alie-Cox,IND,TE,TEN,3,2.633928571428571,2.911340725806451,ACTIVE
00-0033246,Johnny Mundt,JAX,TE,HOU,3,1.215809523809524,1.1626668817204302,ACTIVE
00-0033280,Christian McCaffrey,SF,RB,ARI,3,20.897097368421054,20.18929245755518,ACTIVE
00-0033288,George Kittle,SF,TE,ARI,3,13.113160818713451,0.0,INJURY_RESERVE
00-0033293,Aaron Jones,MIN,RB,CIN,3,10.784766214177978,0.0,INJURY_RESERVE
00-0033526,Samaje Perine,CIN,RB,MIN,3,2.842792569659443,2.9390807050833914,ACTIVE
00-0033553,James Conner,ARI,RB,SF,3,14.07019230769231,13.18513182382134,ACTIVE
00-0033555,Mack Hollins,NE,WR,PIT,3,4.97207843137255,5.707464870335232,ACTIVE
00-0033576,Eric Saubert,SEA,TE,NO,3,0.6795238095238095,0.599161899001536,ACTIVE
00-0033589,David Moore,CAR,WR,ATL,3,1.5984166666666668,1.7327352284946238,ACTIVE
00-0033591,Noah Brown,WAS,WR,LV,3,4.9777272727272734,6.084870161290323,QUESTIONABLE
00-0033699,Austin Ekeler,WAS,RB,LV,3,8.803357142857143,0.0,INJURY_RESERVE
00-0033854,Dare Ogunbowale,HOU,RB,JAX,3,1.7498585858585858,1.6059186054089276,ACTIVE
00-0033857,JuJu Smith-Schuster,KC,WR,NYG,3,5.9109364319890645,7.477334586466167,ACTIVE
00-0033858,Jonnu Smith,PIT,TE,NE,3,9.779019607843138,11.017169671094246,ACTIVE
00-0033873,Patrick Mahomes,KC,QB,NYG,3,22.284205263157897,27.003424861629885,ACTIVE
00-0033881,Evan Engram,DEN,TE,LAC,3,6.200148778809769,7.249173951224518,QUESTIONABLE
00-0033885,David Njoku,CLE,TE,GB,3,9.191327349121469,11.746368104961926,ACTIVE
00-0033891,Zay Jones,ARI,WR,SF,3,2.965555555555556,3.151620250896058,ACTIVE
00-0033906,Alvin Kamara,NO,RB,SEA,3,15.91158241758242,14.986785849166962,ACTIVE
00-0033908,Cooper Kupp,SEA,WR,NO,3,11.439453601953604,8.74569291283873,ACTIVE
00-0033923,Kareem Hunt,KC,RB,NYG,3,6.459191176470588,7.428069852941175,ACTIVE
00-0033943,Josh Reynolds,NYJ,WR,TB,3,4.683969298245613,4.578957728494623,QUESTIONABLE
00-0033955,Jeremy McNichols,WAS,RB,LV,3,2.5133333333333336,2.4282043010752687,QUESTIONABLE
00-0034159,Will Dissly,LAC,TE,DEN,3,3.482647435897436,3.8123755076509513,ACTIVE
00-0034270,Tyler Conklin,LAC,TE,DEN,3,5.977867647058824,6.543836729127135,ACTIVE
00-0034348,Courtland Sutton,DEN,WR,LAC,3,11.096700980392157,11.084172447027198,ACTIVE
00-0034351,Dallas Goedert,PHI,TE,LA,3,11.067476190476189,11.997501205837171,QUESTIONABLE
00-0034383,Dalton Schultz,HOU,TE,JAX,3,6.747159442724459,6.739541682063319,ACTIVE
00-0034386,Justin Watson,HOU,WR,JAX,3,3.407105263157895,4.0561038624787775,ACTIVE
00-0034407,Ray-Ray McCloud,ATL,WR,CAR,3,4.627828431372548,4.425547543485135,ACTIVE
00-0034487,Trent Sherfield,DEN,WR,LAC,3,1.677247899159664,1.6753542321767418,ACTIVE
00-0034753,Mark Andrews,BAL,TE,DET,3,4.949348086124402,5.467552813561121,ACTIVE
00-0034791,Nick Chubb,HOU,RB,JAX,3,10.50514705882353,9.6410139943074,ACTIVE
00-0034796,Lamar Jackson,BAL,QB,DET,3,26.360786549707605,31.183322379385974,ACTIVE
00-0034827,DJ Moore,CHI,WR,DAL,3,11.613529411764707,15.036242575901332,ACTIVE
00-0034829,Mike Gesicki,CIN,TE,MIN,3,4.843916666666666,4.7868834543010745,ACTIVE
00-0034837,Calvin Ridley,TEN,WR,IND,3,9.085882352941177,9.946110246679318,ACTIVE
00-0034844,Saquon Barkley,PHI,RB,LA,3,18.6497380952381,15.852277380952382,ACTIVE
00-0034854,KhaDarel Hodge,ATL,WR,CAR,3,0.9384835164835164,0.8974627047146401,ACTIVE
00-0034855,Baker Mayfield,TB,QB,NYJ,3,20.330864035087718,23.55428973613469,ACTIVE
00-0034857,Josh Allen,BUF,QB,MIA,3,24.767125730994156,25.206442610391907,ACTIVE
00-0034869,Sam Darnold,SEA,QB,NO,3,12.209355555555556,10.670041361379926,ACTIVE
00-0034960,Jakobi Meyers,LV,WR,WAS,3,14.802553571428572,14.628265440668201,ACTIVE
00-0034975,Justice Hill,BAL,RB,DET,3,4.332455065359477,4.350972816848514,ACTIVE
00-0035208,Olamide Zaccheaus,CHI,WR,DAL,3,5.999013157894737,7.7670287696307305,ACTIVE
00-0035228,Kyler Murray,ARI,QB,SF,3,16.769302139037435,16.393345203984822,ACTIVE
00-0035229,T.J. Hockenson,MIN,TE,CIN,3,6.182979797979797,6.900006003584229,ACTIVE
00-0035243,Miles Sanders,DAL,RB,CHI,3,7.726090909090909,9.250747719941348,ACTIVE
